2021-04-30 05:32:07.627 IDT [main]  TRACE LineSegmentationEvaluatorTool:42 - main
2021-04-30 05:32:07.644 IDT [main]  INFO  LineSegmentationEvaluatorTool:130 - Loading image ground truth from ahte_test_diva_ground_image/moc_train_3.png
2021-04-30 05:32:08.133 IDT [main]  INFO  LineSegmentationEvaluatorTool:138 - Loading page ground truth from ahte_test_ground_xml/moc_train_3.xml
2021-04-30 05:32:08.135 IDT [main]  TRACE ImageLinePageDataset:51 - readDataFromFile
2021-04-30 05:32:08.217 IDT [main]  TRACE ImageLinePageDataset:82 - getPolygonFromXml
2021-04-30 05:32:08.300 IDT [main]  DEBUG ImageLinePageDataset:129 - found 27 polygons in XML document
2021-04-30 05:32:08.304 IDT [main]  TRACE ImageLinePageDataset:67 - java.util.ArrayList@512ddf17
2021-04-30 05:32:08.304 IDT [main]  INFO  LineSegmentationEvaluatorTool:143 - Loading method output from evaluation_xml/ahte_jults_identity_neighbour_rotate180_flip_blobs_raw_result_xml/moc_train_3.xml
2021-04-30 05:32:08.305 IDT [main]  TRACE ImageLinePageDataset:51 - readDataFromFile
2021-04-30 05:32:08.333 IDT [main]  TRACE ImageLinePageDataset:82 - getPolygonFromXml
2021-04-30 05:32:08.399 IDT [main]  DEBUG ImageLinePageDataset:129 - found 27 polygons in XML document
2021-04-30 05:32:08.399 IDT [main]  TRACE ImageLinePageDataset:67 - java.util.ArrayList@2c13da15
2021-04-30 05:32:08.399 IDT [main]  INFO  LineSegmentationEvaluatorTool:148 - Evaluating...
2021-04-30 05:32:08.402 IDT [main]  TRACE LineSegmentationEvaluator:50 - evaluate
2021-04-30 05:32:08.402 IDT [main]  TRACE LineSegmentationEvaluator:316 - getMatchingPolygons
2021-04-30 05:32:08.403 IDT [main]  TRACE LineSegmentationEvaluator:339 - matching possibility for GT: java.awt.Polygon@9e89d68
2021-04-30 05:32:08.406 IDT [main]  TRACE LineSegmentationEvaluator:349 - no matching possibility of java.awt.Polygon@9e89d68 with MO: java.awt.Polygon@ed17bee
2021-04-30 05:32:08.407 IDT [main]  TRACE LineSegmentationEvaluator:349 - no matching possibility of java.awt.Polygon@9e89d68 with MO: java.awt.Polygon@2a33fae0
2021-04-30 05:32:08.748 IDT [main]  TRACE LineSegmentationEvaluator:349 - no matching possibility of java.awt.Polygon@9e89d68 with MO: java.awt.Polygon@707f7052
2021-04-30 05:32:08.749 IDT [main]  TRACE LineSegmentationEvaluator:349 - no matching possibility of java.awt.Polygon@9e89d68 with MO: java.awt.Polygon@11028347
2021-04-30 05:32:08.750 IDT [main]  TRACE LineSegmentationEvaluator:349 - no matching possibility of java.awt.Polygon@9e89d68 with MO: java.awt.Polygon@14899482
2021-04-30 05:32:08.750 IDT [main]  TRACE LineSegmentationEvaluator:349 - no matching possibility of java.awt.Polygon@9e89d68 with MO: java.awt.Polygon@21588809
2021-04-30 05:32:08.751 IDT [main]  TRACE LineSegmentationEvaluator:349 - no matching possibility of java.awt.Polygon@9e89d68 with MO: java.awt.Polygon@2aae9190
2021-04-30 05:32:08.752 IDT [main]  TRACE LineSegmentationEvaluator:349 - no matching possibility of java.awt.Polygon@9e89d68 with MO: java.awt.Polygon@2f333739
2021-04-30 05:32:08.753 IDT [main]  TRACE LineSegmentationEvaluator:349 - no matching possibility of java.awt.Polygon@9e89d68 with MO: java.awt.Polygon@77468bd9
